iter	Passed	Remaining
161	735	3803
162	736	3784
163	738	3763
164	739	3741
165	740	3722
166	742	3701
167	743	3680
168	749	3687
169	752	3671
170	753	3652
171	754	3633
172	756	3614
173	757	3595
174	765	3607
175	766	3590
176	768	3575
177	770	3559
178	774	3550
179	776	3538
180	783	3543
181	784	3527
182	786	3509
183	787	3492
184	788	3474
185	789	3456
186	794	3452
187	797	3444
188	798	3427
189	800	3410
190	801	3394
191	802	3377
192	803	3361
193	805	3344
194	808	3337
195	810	3323
196	811	3307
197	812	3291
198	813	3275
199	814	3259
200	816	3244
201	819	3236
202	823	3235
203	825	3221
204	826	3206
205	828	3191
206	829	3176
207	830	3162
208	831	3148
209	836	3146
210	838	3134
211	839	3122
212	841	3108
213	842	3094
214	843	3080
215	844	3066
216	846	3053
217	847	3039
218	849	3028
219	851	3020
220	853	3009
221	855	2996
222	856	2984
223	857	2971
224	859	2958
225	860	2948
226	862	2936
227	868	2942
228	870	2931
229	873	2923
230	874	2912
231	876	2902
232	884	2910
233	886	2900
234	888	2891
235	889	2880
236	895	2882
237	900	2882
238	902	2872
239	904	2863
240	905	2852
241	907	2841
242	908	2830
243	913	2831
244	915	2821
245	917	2811
246	918	2800
247	920	2790
248	922	2781
249	923	2770
250	927	2766
251	928	2756
252	930	2747
253	932	2737
254	933	2727
255	935	2717
256	937	2709
257	940	2706
258	947	2709
259	950	2705
260	953	2699
261	962	2711
262	974	2730
263	977	2724
264	979	2717
265	982	2711
266	984	2703
267	988	2701
268	992	2696
269	994	2689
270	996	2681
271	1000	2677
272	1006	2679
273	1008	2672
274	1010	2663
275	1011	2654
276	1013	2645
277	1015	2636
278	1017	2630
279	1024	2633
280	1025	2624
281	1027	2614
282	1028	2606
283	1030	2596
284	1037	2603
285	1039	2595
286	1041	2587
287	1042	2578
288	1044	2569
289	1045	2560
290	1055	2571
291	1056	2562
292	1059	2555
293	1060	2547
294	1069	2556
295	1071	2548
296	1072	2539
297	1075	2532
298	1077	2525
299	1083	2528
300	1086	2522
301	1088	2516
302	1091	2509
303	1093	2503
304	1096	2498
305	1098	2490
306	1100	2484
307	1102	2476
308	1103	2468
309	1105	2460
310	1108	2455
311	1110	2448
312	1117	2453
313	1133	2476
314	1134	2468
315	1136	2460
316	1145	2468
317	1147	2460
318	1150	2455
319	1151	2447
320	1153	2439
321	1156	2436
322	1158	2428
323	1160	2421
324	1163	2417
325	1166	2410
326	1168	2405
327	1174	2405
328	1175	2397
329	1177	2390
330	1190	2406
331	1192	2398
332	1193	2390
333	1209	2412
334	1211	2404
335	1212	2397
336	1214	2389
337	1216	2382
338	1220	2379
339	1221	2371
340	1223	2364
341	1225	2357
342	1226	2349
343	1228	2342
344	1230	2335
345	1231	2328
346	1235	2325
347	1238	2320
348	1240	2313
349	1241	2306
350	1246	2304
351	1250	2301
352	1252	2294
353	1253	2288
354	1255	2280
355	1256	2273
356	1259	2267
357	1260	2261
358	1266	2261
359	1269	2257
360	1271	2250
361	1272	2243
362	1274	2236
363	1276	2229
364	1277	2223
365	1282	2221
366	1283	2214
367	1285	2208
368	1293	2212
369	1307	2225
370	1310	2221
371	1312	2215
372	1313	2208
373	1315	2202
374	1318	2198
375	1329	2206
376	1330	2199
377	1332	2192
378	1334	2185
379	1335	2179
380	1337	2173
381	1339	2167
382	1341	2161
383	1344	2156
384	1347	2151
385	1354	2154
386	1356	2149
387	1358	2142
388	1360	2136
389	1361	2130
390	1363	2123
391	1379	2140
392	1381	2133
393	1383	2127
394	1385	2122
395	1387	2115
396	1388	2109
397	1391	2104
398	1395	2102
399	1399	2099
400	1401	2093
401	1403	2087
402	1407	2084
403	1413	2085
404	1415	2079
405	1417	2074
406	1419	2068
407	1421	2062
408	1423	2057
409	1427	2054
410	1429	2048
411	1432	2043
412	1434	2038
413	1437	2034
414	1438	2028
415	1444	2027
416	1446	2021
417	1449	2018
418	1451	2012
419	1459	2015
420	1462	2010
421	1464	2005
422	1468	2003
423	1473	2002
424	1477	1998
425	1478	1992
426	1481	1988
427	1484	1984
428	1490	1983
429	1491	1977
430	1493	1971
431	1494	1965
